"","month","mean","median","sd","max","min"
"1","January",2.58465647473569,2.359056296,1.25427692991169,8.805154866,0.313
"2","February",2.49660877240375,2.223955315,1.28896751865959,10.05297267,0.4
"3","March",2.0632792463583,1.875,1.05018788009298,8.438,0.3
"4","April",1.56496988254568,1.379980997,0.872871426488647,7.259396306,0.195
"5","May",1.39592980615726,1.2046798135,0.779720864422497,9.688,0.156
"6","June",1.26254488802154,1.1145132955,0.675697413894547,5.469,0.156
"7","July",1.19476832556317,1.055,0.622829991330327,4.635243838,0.156
"8","August",1.29086456676416,1.1149936485,0.723867798631238,7.617,0.1
"9","September",1.49452384235846,1.3,0.825869599210418,8.203,0.156
"10","October",1.98823006830003,1.7769830645,1.04210852572074,12.969,0.3
"11","November",2.22614846616914,2,1.13024794892541,9.15981214,0.313
"12","December",2.56017216210373,2.344,1.2567236360066,9.410741806,0.352
"13","Overall",1.84089277885304,1.5685515035,1.11160839076674,12.969,0.1
