"year","max_hs"
1979,6.903548998
1980,7.50197304
1981,8.086733422
1982,7.716075512
1983,8.171572722
1984,7.505030477
1985,6.39525795
1986,6.75716456
1987,7.470842009
1988,9.828542709
1989,9.410741806
1990,8.805154866
1991,8.570650941
1992,6.944360362
1993,8.629390323
1994,7.772119522
1995,7.644272804
1996,10.53049073
1997,8.945782661
1998,8.209923578
1999,7.003928708
2000,9.15981214
2001,7.484464645
2002,8.193523407
2003,7.569989366
2004,7.9
2005,8
2006,8.1
2007,8.195101951
2008,6.781644102
2009,7
2010,7.6
2011,6.5
2012,6.9
2013,8.568826712
2014,10.05297267
2015,7.938138008
2016,9.095987753
2017,12.969
2018,9.063
2019,7.188
2020,7.852
2021,9.688
2022,7.891
2023,8.203
