"bin","mean_J","total_J","GWh_m2"
"15",3683.07637643732,44149036.5243541,1.2263631067662e-05
"45",2998.34378577632,47559729.129984,1.32110464382687e-05
"75",3714.64085219927,32725985.9078755,9.09055891351785e-06
"105",4853.54214150293,47821950.7202284,1.32838858271636e-05
"135",4993.87774245074,51222204.0043172,1.42284013839112e-05
"165",5474.08632251134,73839950.4043554,2.0511113743421e-05
"195",7223.56676739979,253063214.562317,7.02953936146912e-05
"225",7590.73860570178,913340441.253855,0.000253705881090613
"255",5492.96986651072,665555693.875771,0.000184876729533424
"285",3674.61350765543,92074790.6613221,2.55763512003207e-05
"315",3127.46133921612,39227747.5777878,1.08966052666627e-05
"345",3124.54284476949,31511014.5895003,8.75306661064222e-06
