"start","end","duration_hours"
1979-01-02 04:00:00,1979-01-02 19:00:00,15
1979-01-05 14:00:00,1979-01-06 06:00:00,16
1979-01-07 13:00:00,1979-01-08 18:00:00,29
1979-01-12 08:00:00,1979-01-13 12:00:00,28
1979-01-14 08:00:00,1979-01-16 16:00:00,56
1979-01-20 02:00:00,1979-01-21 16:00:00,38
1979-01-23 03:00:00,1979-01-24 17:00:00,38
1979-01-25 05:00:00,1979-01-25 15:00:00,10
1979-01-26 09:00:00,1979-01-27 23:00:00,38
1979-01-30 12:00:00,1979-01-31 07:00:00,19
1979-02-02 18:00:00,1979-02-04 01:00:00,31
1979-02-16 15:00:00,1979-02-17 10:00:00,19
1979-02-19 11:00:00,1979-02-19 19:00:00,8
1979-02-22 04:00:00,1979-02-26 14:00:00,106
1979-02-28 03:00:00,1979-02-28 19:00:00,16
1979-03-12 15:00:00,1979-03-13 23:00:00,32
1979-03-18 03:00:00,1979-03-19,21
1979-03-19 16:00:00,1979-03-20 17:00:00,25
1979-03-21 13:00:00,1979-03-23 22:00:00,57
1979-03-30 11:00:00,1979-04-01 09:00:00,46
1979-04-01 17:00:00,1979-04-07 14:00:00,141
1979-04-07 21:00:00,1979-04-10,51
1979-04-10 13:00:00,1979-04-11 14:00:00,25
1979-04-13 03:00:00,1979-04-19 10:00:00,151
1979-04-19 18:00:00,1979-04-20 06:00:00,12
1979-04-20 08:00:00,1979-04-21,16
1979-04-21 03:00:00,1979-04-22 12:00:00,33
1979-04-26 10:00:00,1979-04-28,38
1979-04-28 12:00:00,1979-04-29 16:00:00,28
1979-04-30 08:00:00,1979-05-01 10:00:00,26
1979-05-03 06:00:00,1979-05-06 19:00:00,85
1979-05-08,1979-05-10 03:00:00,51
1979-05-11 13:00:00,1979-05-16 10:00:00,117
1979-05-18,1979-05-20,48
1979-05-20 15:00:00,1979-05-23 10:00:00,67
1979-05-23 21:00:00,1979-05-27 20:00:00,95
1979-05-29 18:00:00,1979-06-13 23:00:00,365
1979-06-15 12:00:00,1979-06-21 09:00:00,141
1979-06-21 13:00:00,1979-06-22 11:00:00,22
1979-06-22 16:00:00,1979-06-23 01:00:00,9
1979-06-23 04:00:00,1979-06-28 11:00:00,127
1979-06-28 20:00:00,1979-07-06 14:00:00,186
1979-07-07 05:00:00,1979-07-08 10:00:00,29
1979-07-09,1979-07-17 12:00:00,204
1979-07-18,1979-07-20 22:00:00,70
1979-07-21 03:00:00,1979-07-28 09:00:00,174
1979-07-28 12:00:00,1979-07-30 09:00:00,45
1979-07-30 19:00:00,1979-07-31 01:00:00,6
1979-08-02 02:00:00,1979-08-05 02:00:00,72
1979-08-06 02:00:00,1979-08-06 09:00:00,7
1979-08-06 18:00:00,1979-08-08 19:00:00,49
1979-08-09 12:00:00,1979-08-12 14:00:00,74
1979-08-12 23:00:00,1979-08-13 21:00:00,22
1979-08-15 01:00:00,1979-08-16 04:00:00,27
1979-08-17 11:00:00,1979-08-20 09:00:00,70
1979-08-20 17:00:00,1979-08-21 13:00:00,20
1979-08-21 21:00:00,1979-08-22 13:00:00,16
1979-08-24 06:00:00,1979-08-24 23:00:00,17
1979-08-25 03:00:00,1979-09-01 03:00:00,168
1979-09-01 15:00:00,1979-09-01 21:00:00,6
1979-09-03 11:00:00,1979-09-05 07:00:00,44
1979-09-05 23:00:00,1979-09-07 21:00:00,46
1979-09-08 09:00:00,1979-09-08 17:00:00,8
1979-09-09 08:00:00,1979-09-12 09:00:00,73
1979-09-12 21:00:00,1979-09-16 19:00:00,94
1979-09-18 10:00:00,1979-09-18 16:00:00,6
1979-09-18 22:00:00,1979-09-19 17:00:00,19
1979-09-20 23:00:00,1979-09-21 14:00:00,15
1979-09-22 06:00:00,1979-09-22 22:00:00,16
1979-09-23 07:00:00,1979-09-24 15:00:00,32
1979-09-26 19:00:00,1979-09-29 03:00:00,56
1979-10-01 04:00:00,1979-10-02 09:00:00,29
1979-10-02 12:00:00,1979-10-02 18:00:00,6
1979-10-02 22:00:00,1979-10-03 20:00:00,22
1979-10-04 11:00:00,1979-10-05 11:00:00,24
1979-10-10,1979-10-10 18:00:00,18
1979-10-13 15:00:00,1979-10-17 11:00:00,92
1979-10-17 23:00:00,1979-10-18 13:00:00,14
1979-10-19 14:00:00,1979-10-21 05:00:00,39
1979-10-23 04:00:00,1979-10-24 04:00:00,24
1979-10-25 15:00:00,1979-10-28 09:00:00,67
1979-10-28 20:00:00,1979-10-29 23:00:00,27
1979-11-01 17:00:00,1979-11-02 10:00:00,17
1979-11-08 02:00:00,1979-11-08 15:00:00,13
1979-11-09 21:00:00,1979-11-11 02:00:00,29
