"year","max_wind"
1979,23.88969065
1980,22.57289
1981,25.21369
1982,22.56323
1983,23.57633
1984,23.08398
1985,21.35968
1986,24.29355
1987,23.06124
1988,24.59213
1989,23.21347
1990,25.9305
1991,23.80271
1992,23.03646
1993,24.36997
1994,24.43273
1995,23.89011
1996,26.50441
1997,25.86243
1998,24.4879
1999,24.29854
2000,25.85059
2001,20.71828
2002,23.62196
2003,22.99337
2004,23.14954
2005,23.6619
2006,23.92041
2007,23.75769
2008,22.52725
2009,24.32106
2010,21.93627
2011,21.31551
2012,22.17786
2013,23.8832
2014,26.89643
2015,23.11452
2016,23.67129
2017,24.48262
2018,25.04917
2019,23.06992
2020,23.66577
2021,26.12511
2022,25.97097
2023,23.04917
